Day,Meal,Recipe,Calories,Carbs_g,Sugar_g,Protein_g
Day 1,Breakfast,crispy crunchy  chicken,335.8,27.5,1.0,32.0
Day 1,Lunch,alouette  potatoes,368.1,55.0,5.0,7.0
Day 1,Dinner,forgotten  minestrone,346.9,27.5,9.0,21.0
Day 2,Breakfast,light chicken nuggets,676.0,27.5,3.5,49.5
Day 2,Lunch,new orleans red beans and rice,608.1,68.8,8.5,54.5
Day 2,Dinner,grilled chicken burrito,684.7,27.5,9.0,85.5
Day 3,Breakfast,chicken stuffed with goat cheese and garlic,469.8,27.5,2.5,48.0
Day 3,Lunch,soft burger buns,416.3,68.8,10.0,10.0
Day 3,Dinner,el dorado beef cheese casserole,634.6,27.5,10.0,33.0
Day 4,Breakfast,chicken breasts  to die for,576.4,30.2,2.5,34.0
Day 4,Lunch,vegetarian  no chicken  pot pie,685.7,63.2,6.5,11.0
Day 4,Dinner,new jersey zucchini bake,236.4,27.5,4.5,6.5
Day 5,Breakfast,fish sticks,630.8,41.2,8.5,93.0
Day 5,Lunch,summer s smoked turkey sandwich,480.5,66.0,6.5,29.0
Day 5,Dinner,stuffed baked tomatoes,160.3,27.5,10.0,5.0
Day 6,Breakfast,crispy tilapia,507.3,30.2,3.0,74.5
Day 6,Lunch,jalapeno popper grilled cheese sandwich,642.8,68.8,10.0,23.0
Day 6,Dinner,crock pot lamb and barley stew,469.7,33.0,10.0,46.0
Day 7,Breakfast,cheesy stuffed chicken breasts,674.8,27.5,1.0,41.5
Day 7,Lunch,italian white beans with tuna,548.6,49.5,4.0,38.5
Day 7,Dinner,roasted garlic and leek soup,537.1,27.5,8.0,5.0
Day 8,Breakfast,cream cheese   herb stuffed chicken breasts,523.1,27.5,4.5,38.5
Day 8,Lunch,black beans  n rice,237.9,44.0,2.5,7.5
Day 8,Dinner,mexican style beef casserole,292.9,27.5,6.5,18.0
Day 9,Breakfast,chicken with an asian flair,593.6,27.5,6.5,68.5
Day 9,Lunch,special pumpkin pie seasoning for hillvilla pumpkin pie,288.6,63.2,7.5,6.0
Day 9,Dinner,sheila s derby day hot brown,477.4,27.5,10.0,24.5
Day 10,Breakfast,secret ingredient best juicy fried chicken,438.3,35.8,1.0,43.0
Day 10,Lunch,make ahead mashed potatoes with browned butter,492.3,57.8,8.0,7.5
Day 10,Dinner,cheesy burgers with sauteed mushrooms,455.9,30.2,6.5,36.0
Day 11,Breakfast,crock pot chicken and noodles,464.0,27.5,1.5,29.0
Day 11,Lunch,chicken with white beans and escarole,671.7,68.8,6.5,34.5
Day 11,Dinner,savory pan roasted corn,433.0,30.2,9.5,5.0
Day 12,Breakfast,puff pastry chicken pockets,545.6,27.5,1.5,32.0
Day 12,Lunch,penne al arrabiatta,371.4,68.8,5.0,8.5
Day 12,Dinner,lamb with beans  crockpot,341.5,27.5,10.0,36.0
Day 13,Breakfast,halibut with corn and lime cilantro butter,575.4,27.5,2.0,52.5
Day 13,Lunch,victor s cafe 52 cuban black beans and rice,527.7,60.5,5.0,9.5
Day 13,Dinner,too good corn casserole,272.7,33.0,10.0,9.0
Day 14,Breakfast,maryland fried chicken,593.6,27.5,3.5,41.5
Day 14,Lunch,cheesy chicken   salsa skillet,378.4,52.2,6.5,32.5
Day 14,Dinner,oven bag rump roast,148.8,30.2,7.0,4.0
Day 15,Breakfast,lemon chicken schnitzel,455.9,30.2,4.5,60.5
Day 15,Lunch,southwest chicken black bean soup,567.0,60.5,6.5,50.0
Day 15,Dinner,perfect pot roast  slow cooker,343.8,30.2,7.5,37.5
Day 16,Breakfast,linda s chicken roll ups or not,660.8,30.2,6.0,44.5
Day 16,Lunch,linda s ranch potatoes,552.8,68.8,6.5,10.5
Day 16,Dinner,roasted garlic and smoked paprika potato salad,340.6,27.5,10.0,5.5
Day 17,Breakfast,chicken porter rockwell,628.3,33.0,4.5,34.0
Day 17,Lunch,alfredo chicken pasta toss,478.6,63.2,9.5,34.0
Day 17,Dinner,marge hildebrand s beef stew,418.2,27.5,7.5,23.5
Day 18,Breakfast,italian breaded chicken breasts,418.1,27.5,3.5,35.0
Day 18,Lunch,lemon pickle  moroccan style,153.0,66.0,4.5,8.5
Day 18,Dinner,black bean chicken stew oamc,226.8,27.5,9.0,17.0
Day 19,Breakfast,chicken pesto pillows,644.0,33.0,2.0,27.5
Day 19,Lunch,black beans and rice with cheese,383.1,60.5,6.5,17.0
Day 19,Dinner,amazing beef stew,287.2,27.5,8.0,18.0
Day 20,Breakfast,chicken kiev stuffed with pecan honey butter,529.5,33.0,2.5,22.0
Day 20,Lunch,herbed onion focaccia,400.4,68.8,7.5,11.0
Day 20,Dinner,indian beef madras curry,521.7,30.2,8.0,64.5
Day 21,Breakfast,chicken cordon bleu ii,552.7,30.2,4.0,41.0
Day 21,Lunch,quick scallops and spaghetti,370.8,49.5,3.0,29.5
Day 21,Dinner,asian vegetable and chicken wrap,488.0,27.5,8.5,41.0
Day 22,Breakfast,crispy parmesan chicken tenders,400.7,30.2,1.5,38.5
Day 22,Lunch,fettuccini with sweet peppers   pine nuts,669.9,68.8,8.0,17.0
Day 22,Dinner,johnny m casserole,409.1,33.0,9.5,23.5
Day 23,Breakfast,chicken and noodles  crock pot,618.7,33.0,3.0,36.5
Day 23,Lunch,floridanative s pinto bean burritos,538.5,68.8,8.5,23.0
Day 23,Dinner,sun dried tomato stuffed baked eggplant,540.4,30.2,10.0,13.0
Day 24,Breakfast,pillows of chicken,651.6,27.5,4.5,33.5
Day 24,Lunch,butternut mac  n cheese  my other version,593.3,57.8,6.0,27.5
Day 24,Dinner,taco in a bowl,406.7,27.5,9.5,28.5
Day 25,Breakfast,country fried meatloaf sandwich,668.6,30.2,0.5,56.5
Day 25,Lunch,crock pot italian bean soup with chicken,535.6,68.8,2.5,44.5
Day 25,Dinner,greek potato bake,249.5,27.5,7.0,3.0
Day 26,Breakfast,savory panko crusted salmon,665.5,35.8,7.0,76.0
Day 26,Lunch,quick hash browns,246.7,49.5,4.5,6.0
Day 26,Dinner,tater tot pizza casserole,566.9,27.5,8.5,26.0
Day 27,Breakfast,parmesan crusted tilapia with lemon caper sauce,447.8,27.5,1.5,45.0
Day 27,Lunch,za atar chicken with orange israeli couscous,662.0,57.8,9.0,37.0
Day 27,Dinner,italian tuna melt burgers,667.8,35.8,9.5,60.0
Day 28,Breakfast,kfc crispy strips,440.1,30.2,0.0,36.5
Day 28,Lunch,italian bread dip,677.2,68.8,2.5,15.5
Day 28,Dinner,only the best broccoli and cheese casserole ever,389.9,27.5,8.0,9.5
Day 29,Breakfast,easy shortcut chicken cordon bleu,475.9,30.2,4.0,42.5
Day 29,Lunch,gem electric neon pasta,514.8,52.2,4.5,19.0
Day 29,Dinner,beef barley stew soup,328.3,27.5,8.5,31.0
Day 30,Breakfast,a different  pizza,633.8,27.5,3.0,27.5
Day 30,Lunch,orecchiette with mushrooms   artichokes,384.4,60.5,9.0,15.5
Day 30,Dinner,holiday green bean casserole,280.1,27.5,10.0,14.0
